Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,0.0,0,4,0,4,2,0.14070422535211266,224
1,9.776,0,7,0,4,2,0.09519366197183099,125
2,9.651,0,9,0,4,2,0.13028169014084506,300
3,9.351,0,7,0,5,2,0.06704225352112676,120
4,9.231,0,4,0,4,2,0.07748239436619718,121
5,9.11,0,4,0,4,2,0.060369718309859155,34
6,9.076,0,9,0,5,2,-0.009471830985915494,116
7,8.96,0,4,0,4,2,-0.02375,118
8,8.842,0,9,0,5,2,0.09367957746478874,129
9,8.713,0,0,0,4,2,-0.029806338028169014,210
10,8.503,0,4,0,4,2,0.0945950704225352,8503
0,0.0,0,9,0,5,2,0.29366892136198885,300
1,9.7,0,8,0,4,2,0.26948753450389357,114
