Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Reward,Volume
10,0,1,1,0,-0.35217056477082953,72
0,10,0,2,0,-0.39889589768882655,200
1,8,1,2,0,-0.355631700542533,14
2,7,1,2,0,no trade ,0
3,7,0,1,0,-0.39889589768882655,100
4,6,1,2,0,-0.40408760134638183,192
5,4,1,1,0,-0.409279305003937,100
6,3,1,1,0,no trade ,0
7,3,1,1,0,-0.4265849838624544,10
8,3,1,1,0,-0.4265849838624544,11
9,3,1,1,0,-0.4663880452370445,200
10,1,1,1,0,-0.42414488314340354,173
0,10,0,0,0,-0.4585330403336045,11
1,9,1,0,0,no trade ,0
2,9,2,0,1,-0.42859861920993886,30
3,9,1,0,0,-0.43603896665686154,11
4,9,1,0,0,-0.4412299067361099,97
5,8,0,0,0,-0.46026335369335386,400
6,4,0,0,0,-0.4689149204921011,100
7,3,1,0,0,-0.44642084681535826,100
8,2,1,0,0,-0.47410586057134946,100
9,1,1,1,0,-0.48448774072984613,100
10,0,1,1,0,-0.46637135985326944,51
0,10,2,2,1,-0.4129219801706089,122
1,8,1,1,0,-0.42219645977886594,200
2,6,1,2,0,-0.3893205059436264,100
3,5,1,3,10,no trade ,0
4,5,1,1,0,-0.35990517882788575,100
5,4,2,2,1,-0.36428287162805184,42
6,4,1,2,0,-0.368556745626633,400
7,0,1,1,0,-0.3962417593826242,11
8,0,1,2,0,-0.4204661464191165,25
9,0,0,2,0,no trade ,0
10,0,0,2,0,no trade ,0
0,10,1,1,0,-0.3626041729769024,100
1,9,2,0,1,-0.33909980701496284,31
2,8,2,2,1,-0.326499528354954,251
3,6,0,1,0,-0.37991224805933205,100
4,5,1,2,0,-0.3297188303202859,100
5,4,1,2,0,-0.3626041729769024,200
6,2,2,1,1,-0.3337169956643272,111
7,1,1,1,0,-0.3608733654686594,11
8,0,1,2,0,-0.3937587081252758,96
9,0,1,1,0,no trade ,0
10,0,2,2,0,no trade ,0
0,10,1,2,0,-0.323635797234385,131
1,8,2,2,10,no trade ,0
2,8,0,1,0,-0.3132517609594849,100
3,7,1,1,0,-0.28036897942230143,100
4,6,1,1,0,-0.2596009068725013,10
5,6,1,1,0,-0.27171561585988474,81
