Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Expected Payout
6,6,0,7,8,3474670487.1369324
6,6,0,7,9,3474680871.428575
6,6,0,7,10,3474413544.2623014
6,6,0,6,0,3429385837.9562044
6,6,0,6,1,3449283092.222224
6,6,0,6,2,3465177593.548389
6,6,0,6,3,3479608455.752211
6,6,0,6,4,3475621456.3492084
6,6,0,6,5,3458992760.902255
6,6,0,6,6,3450537600.0000014
6,6,0,6,7,3450145132.0610676
6,6,0,6,8,3453875921.7741947
6,6,0,6,9,3454325915.350877
6,6,0,6,10,3419189400.0000033
6,6,0,5,0,3423556516.298571
6,6,0,5,1,3462428872.4443603
6,6,0,5,2,3475887944.8430276
6,6,0,5,3,3477934110.5921164
6,6,0,5,4,3476476068.073101
6,6,0,5,5,3465204025.2690406
6,6,0,5,6,3446583391.7691116
6,6,0,5,7,3434303781.8355203
6,6,0,5,8,3430958376.451074
6,6,0,5,9,3432058969.6554704
6,6,0,5,10,3412514000.0000153
6,6,0,4,0,3423831316.7091403
6,6,0,4,1,3447665324.540993
6,6,0,4,2,3477993851.5801983
6,6,0,4,3,3497856960.040213
6,6,0,4,4,3503503872.694286
6,6,0,4,5,3489503529.5663853
6,6,0,4,6,3462995411.817241
6,6,0,4,7,3445685063.6913533
6,6,0,4,8,3436611728.304719
6,6,0,4,9,3436579472.0949454
6,6,0,4,10,3412128800.000235
4,7,0,0,0,3973578194.238458
4,7,0,0,1,3924814303.1554823
4,7,0,0,2,3897088439.382883
4,7,0,0,3,3847524339.0761
4,7,0,0,4,3783544165.727246
4,7,0,0,5,3834378580.820603
4,7,0,0,6,3871927231.299068
4,7,0,0,7,3952394838.0719185
4,7,0,0,8,4022897865.662464
4,7,0,0,9,3967164464.7144437
4,7,0,0,10,3795023301.6305985
4,7,0,1,0,3999883523.07436
4,7,0,1,1,4034971649.5731583
4,7,0,1,2,4034312362.369076
4,7,0,1,3,3979424002.765456
4,7,0,1,4,3964431463.276792
4,7,0,1,5,3975191229.6099496
4,7,0,1,6,3983561053.634992
4,7,0,1,7,3978360952.4336996
4,7,0,1,8,3977984031.6302605
4,7,0,1,9,3988622284.7866764
4,7,0,1,10,3964711093.4512005
4,7,0,2,0,3977558567.7798715
4,7,0,2,1,4017297595.3020525
4,7,0,2,2,4046718932.334012
4,7,0,2,3,4062659293.6341414
4,7,0,2,4,4059254516.0640173
4,7,0,2,5,4046734410.8796353
4,7,0,2,6,4017964336.739971
4,7,0,2,7,3983122797.455561
4,7,0,2,8,3963297109.78805
4,7,0,2,9,3965470925.0097756
4,7,0,2,10,3962677083.0847087
4,7,0,3,0,4002813437.1284223
4,7,0,3,1,4032543780.247319
4,7,0,3,2,4054818190.7538056
4,7,0,3,3,4074741249.0064754
4,7,0,3,4,4076195576.035358
4,7,0,3,5,4066922078.016719
4,7,0,3,6,4048157778.7713404
4,7,0,3,7,4024384298.588493
4,7,0,3,8,3999501920.410501
4,7,0,3,9,3990676948.9715657
4,7,0,3,10,3980938799.999997
8,7,1,9,0,4108705801.204821
8,7,1,9,1,4086741946.052632
8,7,1,9,2,4056946008.227849
8,7,1,9,3,4055827935.260117
8,7,1,9,4,4056296924.203823
8,7,1,9,5,4056212937.5796213
8,7,1,9,6,4056307470.833335
8,7,1,9,7,4056310930.409357
8,7,1,9,8,4056042964.473685
8,7,1,9,9,4055943879.1666684
8,7,1,9,10,4049570000.000005
4,7,0,5,0,3992863474.2040524
4,7,0,5,1,4028576906.6342583
4,7,0,5,2,4046183574.9564266
4,7,0,5,3,4050222294.213147
4,7,0,5,4,4051103256.866289
4,7,0,5,5,4042856148.0094056
4,7,0,5,6,4026655376.0596585
4,7,0,5,7,4014524872.546513
4,7,0,5,8,4005168487.419269
4,7,0,5,9,4003643625.9130363
4,7,0,5,10,3981423999.9998965
4,7,0,6,0,3999078589.3129826
4,7,0,6,1,4015971659.52381
4,7,0,6,2,4038687694.9612374
4,7,0,6,3,4054367479.0262146
