Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
7,14.015015015015015,5,3,0,6,0,-0.041727519298977674,1550
8,11.687687687687689,5,2,0,3,0,-0.03477293274914806,500
9,10.936936936936936,0,1,0,4,5,no trade ,0
10,10.936936936936936,5,1,0,4,5,no trade ,0
11,10.936936936936936,0,2,0,5,5,no trade ,0
12,10.936936936936936,0,1,0,4,3,-0.03532929967313443,2761
13,6.791291291291292,0,4,0,4,5,no trade ,0
14,6.791291291291292,0,3,0,5,5,no trade ,0
15,6.791291291291292,5,3,2,5,5,0.031156547743236663,4523
0,0.0,0,2,6,5,5,no trade ,0
1,15.015015015015015,5,3,6,4,5,no trade ,0
2,15.015015015015015,0,4,5,5,5,no trade ,0
3,15.015015015015015,5,4,5,6,5,no trade ,0
4,15.015015015015015,0,7,6,5,5,no trade ,0
5,15.015015015015015,0,3,5,4,5,no trade ,0
6,15.015015015015015,0,6,5,5,5,no trade ,0
7,15.015015015015015,0,5,5,5,5,no trade ,0
8,15.015015015015015,5,4,3,5,5,no trade ,0
9,15.015015015015015,5,4,4,4,5,no trade ,0
10,15.015015015015015,0,3,6,4,0,-0.03126628452318916,700
11,13.963963963963964,0,2,9,3,0,0.0034740316136876847,800
12,12.762762762762764,0,2,8,4,5,no trade ,0
13,12.762762762762764,5,3,8,5,5,no trade ,0
14,12.762762762762764,5,4,9,5,5,no trade ,0
15,12.762762762762764,5,4,9,5,0,0.03501823866597186,8500
0,0.0,0,7,9,5,0,-0.05207067726594231,720
1,13.933933933933934,0,6,9,5,0,-0.03124240635956538,200
2,13.633633633633634,0,5,9,5,5,no trade ,0
3,13.633633633633634,0,2,9,5,5,no trade ,0
4,13.633633633633634,0,3,9,5,5,no trade ,0
5,13.633633633633634,0,1,9,5,2,0.011733259277259,2300
6,10.18018018018018,0,0,9,6,2,0.017287464852292843,1785
7,7.5,0,1,9,6,5,no trade ,0
8,7.5,0,3,9,5,5,no trade ,0
9,7.5,5,2,9,4,0,-0.01041413545318846,615
10,6.576576576576577,0,3,9,5,5,no trade ,0
11,6.576576576576577,0,6,9,5,5,no trade ,0
12,6.576576576576577,0,1,9,5,5,no trade ,0
13,6.576576576576577,5,3,9,4,5,no trade ,0
14,6.576576576576577,5,3,9,5,5,no trade ,0
15,6.576576576576577,5,2,9,4,5,0.011941541986322768,4380
